Date,Open,High,Low,Close,Volume
20-Apr-20,55.98,58.63,55.85,56.97,"72,367,258"
21-Apr-20,56.9,57.73,51.41,52.92,"123,906,390"
22-Apr-20,54.91,56.15,54.34,55.92,"63,164,076"
23-Apr-20,56.65,57.29,55.64,55.9,"69,662,688"
24-Apr-20,55.1,56.78,54.42,56.18,"72,854,752"
27-Apr-20,57.44,58,56.25,56.49,"62,568,062"
28-Apr-20,57.16,57.35,55.3,55.51,"80,501,820"
29-Apr-20,54.53,54.86,52.74,53.66,"110,800,859"
30-Apr-20,53.43,54.29,52.03,52.39,"65,543,944"
01-May-20,51.07,51.95,49.09,49.88,"69,562,656"
04-May-20,49.82,52.61,49.73,52.56,"62,590,577"
05-May-20,53.43,53.51,51.29,52.19,"56,560,532"
06-May-20,52.42,53.31,51.88,52.16,"48,138,123"
07-May-20,52.93,52.97,51.62,51.95,"48,956,641"
08-May-20,52.15,53.27,51.81,53.19,"40,774,186"
11-May-20,52.9,55.89,52.75,55.74,"68,746,373"
12-May-20,56.21,56.58,53.75,53.76,"55,631,098"
13-May-20,54.04,55.22,51.3,52.18,"76,824,714"
14-May-20,52.1,54.54,51.61,54.51,"73,813,999"
15-May-20,53.32,54.44,52.86,54.2,"66,950,863"
18-May-20,54.98,55.25,54.24,54.59,"48,679,061"
19-May-20,54.39,56.73,54.36,55.47,"60,388,543"
20-May-20,56.55,56.98,55.63,56.39,"50,888,191"
21-May-20,56.68,56.72,54.61,54.65,"48,496,114"
22-May-20,54.77,55.37,53.78,55.17,"43,524,110"
26-May-20,56.01,56.08,53.02,53.19,"51,618,865"
27-May-20,53.27,53.28,49.09,52.74,"102,414,487"
28-May-20,52.25,53.54,51.25,51.74,"53,754,227"
29-May-20,52.07,53.8,51.85,53.8,"64,948,312"
01-Jun-20,53.31,54.11,52.89,53.63,"36,949,860"
02-Jun-20,53.45,53.57,52.01,53.54,"42,855,210"
03-Jun-20,53.6,53.65,52.33,52.73,"46,765,332"
04-Jun-20,52.59,53.74,52.2,52.63,"44,869,090"
05-Jun-20,52.99,53.57,52.08,53.1,"53,908,273"
08-Jun-20,53.3,53.35,52.26,52.97,"39,681,749"
09-Jun-20,52.95,56.46,52.72,56.39,"79,919,140"
10-Jun-20,57.2,59,57.03,57.44,"78,719,416"
11-Jun-20,55.94,56.68,52.8,52.83,"78,715,402"
12-Jun-20,55.01,55.6,52.11,53.5,"71,189,070"
15-Jun-20,52.58,54.73,52.41,54.68,"56,740,683"
16-Jun-20,55.72,56.07,53.59,54.46,"50,949,745"
17-Jun-20,54.79,55.82,54.3,54.55,"45,146,545"
18-Jun-20,54.62,55.12,53.65,54.04,"40,354,724"
19-Jun-20,54.41,55.46,53.82,54.23,"52,801,461"
22-Jun-20,54.67,55.17,53.74,54.76,"44,704,781"
23-Jun-20,55.05,55.37,53.87,53.99,"48,089,011"
24-Jun-20,53.94,54.74,51.92,52.39,"53,535,548"
25-Jun-20,52.56,52.7,50.54,51.93,"51,129,614"
26-Jun-20,51.85,51.95,49.45,50.1,"65,485,729"
29-Jun-20,50.15,50.28,48.42,50.28,"49,905,813"
30-Jun-20,51.16,52.77,50.82,52.61,"42,275,739"
01-Jul-20,52.63,52.87,51.6,52.58,"32,370,945"
02-Jul-20,53.03,53.19,52.05,52.34,"29,081,425"
06-Jul-20,52.9,53.52,52.33,53.4,"36,769,425"
07-Jul-20,53.28,54.17,52.86,52.93,"32,153,094"
08-Jul-20,53.01,53.47,52.07,53.43,"35,608,338"
09-Jul-20,53.52,57.58,53.31,57.26,"87,216,264"
10-Jul-20,57.54,58.15,55.51,55.88,"59,839,688"
13-Jul-20,56.68,58.35,53.38,53.59,"57,741,821"
14-Jul-20,53.3,54.86,52.26,54.72,"54,890,110"
15-Jul-20,54.96,55.37,53.59,55.34,"42,360,279"
16-Jul-20,54.68,55.15,53.74,54.92,"36,887,082"
17-Jul-20,55.31,55.81,54.68,55.04,"34,710,407"
20-Jul-20,55.23,57.53,54.83,57.46,"45,034,250"
21-Jul-20,57.81,58.5,56.32,57,"44,800,687"
22-Jul-20,57.07,62,56.97,61.79,"135,159,420"
23-Jul-20,61.63,62.33,58.63,59.57,"106,829,109"
24-Jul-20,64.18,69.94,64.05,69.4,"205,314,531"
27-Jul-20,69.28,71.63,67.79,68.97,"107,918,075"
28-Jul-20,68.1,69.8,67.02,67.61,"94,181,374"
29-Jul-20,75.5,77.19,73.9,76.09,"132,969,679"
30-Jul-20,75.37,78.96,75.07,78.2,"80,286,888"
31-Jul-20,78.67,78.96,75.36,77.43,"71,699,667"
03-Aug-20,78.19,78.5,77.06,77.67,"42,628,817"
04-Aug-20,78.03,85.81,77.99,85.04,"155,676,106"
05-Aug-20,84.96,86.32,83.32,85.31,"65,737,306"
06-Aug-20,85.49,86.98,84.78,86.71,"53,961,739"
07-Aug-20,86.67,87.29,82.67,84.85,"66,543,157"
10-Aug-20,85.05,85.16,79.32,82.24,"70,536,143"
11-Aug-20,80.71,80.71,76.1,76.88,"77,877,661"
12-Aug-20,78.43,82.88,77.55,82.61,"88,607,829"
13-Aug-20,82.88,84.02,81.54,81.84,"57,407,355"
14-Aug-20,81.81,83.24,80.88,81.3,"42,389,477"
17-Aug-20,82.09,83.06,81.55,82.42,"31,450,155"
18-Aug-20,82.8,82.88,81.03,81.66,"30,970,483"
19-Aug-20,81.78,81.85,80.45,81.09,"37,507,391"
20-Aug-20,79.74,82.84,79.12,82.77,"42,948,860"
21-Aug-20,83.29,84.41,82.23,83.81,"48,280,318"
24-Aug-20,84.55,85.33,82.55,83.08,"38,036,068"
25-Aug-20,83.36,86.62,82.35,86.35,"49,234,399"
26-Aug-20,86.97,87.72,85.2,86.02,"47,157,273"
